id,file,category,expected_alt,model,condition,alt,rater_correct,rater_severity,rater_notes,second_rater_correct,second_rater_severity,second_rater_notes
image_of_text_0015,images/image_of_text_0015.png,image_of_text,New arrivals every Thursday,Qwen/Qwen2-VL-2B-Instruct,wcag,New arrivals every Thursday,,,,,,
image_of_text_0017,images/image_of_text_0017.png,image_of_text,Last 3 days of the winter sale,Qwen/Qwen2-VL-2B-Instruct,wcag,Last 3 days of the winter sale,,,,,,
image_of_text_0056,images/image_of_text_0056.png,image_of_text,"Coffee tasting. Tuesday 5 May, 5pm",Qwen/Qwen2-VL-2B-Instruct,wcag,"Coffee tasting Tuesday 5 May, 5pm",,,,,,
image_of_text_0007,images/image_of_text_0007.png,image_of_text,Copperline,Qwen/Qwen2-VL-2B-Instruct,wcag_context,The image is a button or link. Its purpose is to direct users to a specific page or section on the website.,,,,,,
image_of_text_0032,images/image_of_text_0032.png,image_of_text,azzxk,Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a CAPTCHA (Completely Automated Public Turing test to tell Computers and Humans Apart) image, which is used to verify that the user is a human and not a computer. The purpose of the CAPTCHA is to prevent automated bots from accessing the website. The text ""Type the characters",,,,,,
image_of_text_0033,images/image_of_text_0033.png,image_of_text,uf3hju,Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a CAPTCHA (Completely Automated Public Turing test to tell Computers and Humans Apart) image, which is used to verify that the user is a human and not a computer. The purpose of the CAPTCHA is to prevent automated bots from accessing the website.",,,,,,
informative_0010,images/informative_0010.png,informative,4 out of 5 stars,Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
informative_0023,images/informative_0023.png,informative,Awaiting approval,Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
informative_0050,images/informative_0050.png,informative,Map showing the route from Mill Lane to the harbour,Qwen/Qwen2-VL-2B-Instruct,wcag,A dotted line connects two red location markers on a grid.,,,,,,
informative_0019,images/informative_0019.png,informative,90 percent complete,Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a loading icon, commonly used to indicate that a file is being processed or downloaded. It is used to convey that the course progress is in the process of being calculated or displayed.",,,,,,
informative_0030,images/informative_0030.png,informative,"Lena Sorensen, profile picture",Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a button that likely serves as a link to more information about Lena Sorensen, the Editor.",,,,,,
informative_0041,images/informative_0041.png,informative,A teal hardback book,Qwen/Qwen2-VL-2B-Instruct,wcag_context,The image is a product image for a hardback book.,,,,,,
